Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,2.0,0.0,0.0,343.0,8.0,49.0,1626.0,0.0,420.0060000002998,0.0,0.0,218.76426529884338,,,,,,,,,,,,,,,,,,,,,161.72658105438492,112.42552552789665,344.20199523601144,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.0,0.0,0.0,417.0,9.0,74.0,1700.0,0.0,630.0020000001,0.0,0.0,224.06921911239624,,,,,,,,,,,,,,,,,,,,,229.7593217476847,141.80706647252705,464.6263655624375,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.0,0.0,0.0,490.0,10.0,73.0,1773.0,0.0,685.0059999999999,0.0,0.0,229.15340042114258,,,,,,,,,,,,,,,,,,,,,274.5824098959442,139.31957500585548,489.4553947231925,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,528.0,11.0,38.0,1811.0,0.0,395.00100000009996,0.0,0.0,231.98558139801025,,,,,,,,,,,,,,,,,,,,,184.50027940273358,92.38997931971198,328.1726200273345,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,550.0,12.0,22.0,1833.0,0.0,140.00600000000003,0.0,0.0,233.6903591156006,,,,,,,,,,,,,,,,,,,,,46.51443318397002,44.89665068514865,131.08366131265308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,603.0,13.0,53.0,1886.0,0.0,435.00200000009994,0.0,0.0,237.54419994354248,,,,,,,,,,,,,,,,,,,,,181.92967002516713,103.56564328253212,341.99926756238506,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,632.0,14.0,29.0,1915.0,0.0,240.0020000001,0.0,0.0,239.8131866455078,,,,,,,,,,,,,,,,,,,,,98.46387804669999,68.1936197706471,213.5833084510676,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,670.0,15.0,38.0,1953.0,0.0,335.00200000009994,0.0,0.0,242.6825397014618,,,,,,,,,,,,,,,,,,,,,137.03286700434802,91.44017327399762,285.78738438227043,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.0,0.0,0.0,85.0,1.0,85.0,2038.0,0.0,1095.0099999999998,0.0,0.0,308.73500180244446,,,,,,,,,,,,,,,,,,,,,488.6904486076313,184.0402883129524,686.4879986702153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3.0,0.0,0.0,121.0,2.0,36.0,2074.0,0.0,265.0030000000999,0.0,0.0,311.6976993083954,,,,,,,,,,,,,,,,,,,,,102.6698722426975,71.92679586784442,230.34529898255437,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3.0,0.0,0.0,140.0,3.0,19.0,2093.0,0.0,180.0020000001,0.0,0.0,313.3066861629486,,,,,,,,,,,,,,,,,,,,,86.04608102011173,50.655570610226,165.30630768310982,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3.0,0.0,0.0,180.0,4.0,40.0,2133.0,0.0,340.0030000000999,0.0,0.0,316.41789174079895,,,,,,,,,,,,,,,,,,,,,133.97690375244923,94.21884130341425,289.3052914132528,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3.0,0.0,0.0,210.0,5.0,30.0,2163.0,0.0,245.00200000019998,0.0,0.0,318.6934447288513,,,,,,,,,,,,,,,,,,,,,96.70303505070368,72.21913448944575,218.17281766160485,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3.0,0.0,0.0,234.0,6.0,24.0,2187.0,0.0,230.0020000001,0.0,0.0,320.58112239837646,,,,,,,,,,,,,,,,,,,,,107.70642561115851,61.98278099010158,206.21460389234534,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3.0,0.0,0.0,270.0,7.0,36.0,2223.0,0.0,320.00100000019995,0.0,0.0,323.27774930000305,,,,,,,,,,,,,,,,,,,,,142.68339379367083,75.67629977398485,271.34846286310955,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3.0,0.0,0.0,328.0,8.0,58.0,2281.0,0.0,475.00200000009994,0.0,0.0,327.40226674079895,,,,,,,,,,,,,,,,,,,,,184.66276411813246,114.88988346138734,371.6137341531142,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,0.0,347.0,9.0,19.0,2300.0,0.0,170.0030000001,0.0,0.0,328.92365884780884,,,,,,,,,,,,,,,,,,,,,77.34662001699743,50.490923942406454,156.87590120896004,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.0,0.0,0.0,378.0,10.0,31.0,2331.0,0.0,235.0020000001,0.0,0.0,331.33173990249634,,,,,,,,,,,,,,,,,,,,,92.81734324499956,64.77522167171755,208.311741004192,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3.0,0.0,0.0,394.0,11.0,16.0,2347.0,0.0,120.00200000010001,0.0,0.0,332.7164719104767,,,,,,,,,,,,,,,,,,,,,47.28508399000773,38.73724971218409,113.57210763807953,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3.0,0.0,0.0,440.0,12.0,46.0,2393.0,0.0,400.0039999999999,0.0,0.0,336.05687737464905,,,,,,,,,,,,,,,,,,,,,157.4288717195547,106.78833250337081,330.8956757666715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.0,0.0,0.0,501.0,13.0,61.0,2454.0,0.0,515.0060000000999,0.0,0.0,340.5814759731293,,,,,,,,,,,,,,,,,,,,,199.81815391905985,122.92695805203002,397.08780415098323,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.0,0.0,0.0,593.0,14.0,92.0,2546.0,0.0,775.0030000001,0.0,0.0,346.9883632659912,,,,,,,,,,,,,,,,,,,,,272.2437917850683,156.22455136678354,529.8370823816534,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3.0,0.0,0.0,635.0,15.0,42.0,2588.0,0.0,340.00200000009994,0.0,0.0,350.5208852291107,,,,,,,,,,,,,,,,,,,,,132.16382095881002,89.39303786791497,287.3668638357572,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4.0,0.0,0.0,38.0,1.0,38.0,2626.0,0.0,340.00100000019995,0.0,0.0,406.33507442474365,,,,,,,,,,,,,,,,,,,,,140.7461217046784,91.96298996618494,289.4115896489113,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4.0,0.0,0.0,56.0,2.0,18.0,2644.0,0.0,120.00300000010002,0.0,0.0,407.78470182418823,,,,,,,,,,,,,,,,,,,,,42.770833281666185,38.63689142474298,113.43863637313137,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4.0,0.0,0.0,98.0,3.0,42.0,2686.0,0.0,320.0040000000999,0.0,0.0,411.103444814682,,,,,,,,,,,,,,,,,,,,,118.51503871419085,87.41740938388992,272.9572563031715,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4.0,0.0,0.0,131.0,4.0,33.0,2719.0,0.0,260.0040000000999,0.0,0.0,413.5436861515045,,,,,,,,,,,,,,,,,,,,,98.47812942189837,76.79104877944782,229.80425988977117,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4.0,0.0,0.0,201.0,5.0,70.0,2789.0,0.0,620.0059999999999,0.0,0.0,418.80533385276794,,,,,,,,,,,,,,,,,,,,,230.02250611945095,149.32168827217185,463.6265108246305,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4.0,0.0,0.0,319.0,6.0,118.0,2907.0,0.0,1075.0070000002,0.0,0.0,427.07225608825684,,,,,,,,,,,,,,,,,,,,,382.00408243847005,157.24437510952845,630.5476593159646,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4.0,0.0,0.0,387.0,7.0,68.0,2975.0,0.0,620.0080000000999,0.0,0.0,432.27459025382996,,,,,,,,,,,,,,,,,,,,,246.4085662663468,137.17146250371692,457.0203787262464,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4.0,0.0,0.0,447.0,8.0,60.0,3035.0,0.0,485.0020000001999,0.0,0.0,436.54968667030334,,,,,,,,,,,,,,,,,,,,,187.90895918748294,110.90256078850716,376.01679241182825,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4.0,0.0,0.0,478.0,9.0,31.0,3066.0,0.0,220.0030000001,0.0,0.0,439.17383074760437,,,,,,,,,,,,,,,,,,,,,84.12298196945207,61.28576844694384,195.8837127167372,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4.0,0.0,0.0,495.0,10.0,17.0,3083.0,0.0,125.00200000010001,0.0,0.0,440.64637994766235,,,,,,,,,,,,,,,,,,,,,48.36412742705218,40.01828207333488,117.95969529040516,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4.0,0.0,0.0,538.0,11.0,43.0,3126.0,0.0,385.00200000009994,0.0,0.0,443.84332060813904,,,,,,,,,,,,,,,,,,,,,167.3927461922036,87.66034861220541,316.18496882570935,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4.0,0.0,0.0,589.0,12.0,51.0,3177.0,0.0,435.0030000000999,0.0,0.0,447.5010631084442,,,,,,,,,,,,,,,,,,,,,171.55597939790806,108.90935020610323,351.01964697693614,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4.0,0.0,0.0,635.0,13.0,46.0,3223.0,0.0,475.00100000009996,0.0,0.0,450.9110140800476,,,,,,,,,,,,,,,,,,,,,214.62369334103357,106.76933013614094,380.07484955881256,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4.0,0.0,0.0,663.0,14.0,28.0,3251.0,0.0,235.0040000001,0.0,0.0,452.94825887680054,,,,,,,,,,,,,,,,,,,,,99.48649036338202,65.31508124186239,209.24018454379086,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
